Pressure (mbar),Distance Cycle 1 (mm),Distance Cycle 2 (mm),Distance Cycle 3 (mm),Distance Cycle 4 (mm),Distance Cycle 5 (mm),Load Cycle 1 (kg),Load Cycle 2 (kg),Load Cycle 3 (kg),Load Cycle 4 (kg),Load Cycle 5 (kg)
2500.0,63.0,70.0,72.0,73.0,74.0,33.63914373088685,33.53720693170234,33.53720693170234,33.435270132517836,33.53720693170234
2600.0,69.0,76.0,78.0,79.0,80.0,33.435270132517836,33.53720693170234,33.53720693170234,33.435270132517836,33.53720693170234
2700.0,75.0,82.0,84.0,86.0,87.0,33.63914373088685,33.435270132517836,33.63914373088685,33.33333333333333,33.53720693170234
2800.0,82.0,89.0,91.0,92.0,93.0,33.63914373088685,33.53720693170234,33.63914373088685,33.435270132517836,33.53720693170234
2900.0,88.0,95.0,97.0,99.0,99.0,33.74108053007135,33.63914373088685,33.63914373088685,33.53720693170234,33.53720693170234
3000.0,95.0,102.0,103.0,105.0,106.0,33.53720693170234,33.435270132517836,33.53720693170234,33.63914373088685,33.53720693170234
3100.0,101.0,108.0,110.0,111.0,112.0,33.63914373088685,33.63914373088685,33.53720693170234,33.53720693170234,33.63914373088685
3200.0,108.0,114.0,116.0,118.0,118.0,33.944954128440365,33.53720693170234,33.74108053007135,33.63914373088685,33.53720693170234
3300.0,114.0,120.0,122.0,124.0,124.0,33.74108053007135,33.63914373088685,33.63914373088685,33.33333333333333,33.435270132517836
3400.0,120.0,126.0,128.0,129.0,130.0,33.63914373088685,33.435270132517836,33.435270132517836,33.53720693170234,33.435270132517836
3500.0,126.0,132.0,133.0,134.0,135.0,33.435270132517836,33.33333333333333,33.435270132517836,33.63914373088685,33.435270132517836
3600.0,132.0,137.0,139.0,140.0,141.0,33.74108053007135,33.63914373088685,33.435270132517836,33.33333333333333,33.63914373088685
3700.0,138.0,143.0,144.0,145.0,146.0,33.23139653414883,33.33333333333333,33.53720693170234,33.53720693170234,33.53720693170234
3800.0,142.0,147.0,149.0,150.0,151.0,33.63914373088685,33.435270132517836,33.53720693170234,33.53720693170234,33.63914373088685
3900.0,147.0,152.0,154.0,155.0,156.0,33.63914373088685,33.63914373088685,33.53720693170234,33.53720693170234,33.435270132517836
4000.0,152.0,157.0,158.0,159.0,160.0,33.84301732925586,33.74108053007135,33.63914373088685,33.53720693170234,33.63914373088685
4100.0,157.0,161.0,163.0,164.0,164.0,33.63914373088685,33.53720693170234,33.63914373088685,33.53720693170234,33.53720693170234
4200.0,161.0,165.0,167.0,168.0,168.0,33.74108053007135,33.74108053007135,33.63914373088685,33.53720693170234,33.53720693170234
4300.0,166.0,170.0,171.0,172.0,173.0,33.63914373088685,33.435270132517836,33.53720693170234,33.33333333333333,33.435270132517836
4400.0,170.0,173.0,174.0,176.0,176.0,33.53720693170234,33.63914373088685,33.53720693170234,33.435270132517836,33.53720693170234
4500.0,174.0,177.0,178.0,179.0,180.0,33.63914373088685,33.53720693170234,33.63914373088685,33.53720693170234,33.63914373088685
4600.0,177.0,181.0,182.0,183.0,183.0,33.53720693170234,33.53720693170234,33.53720693170234,33.435270132517836,33.74108053007135
4700.0,181.0,184.0,185.0,186.0,187.0,33.53720693170234,33.53720693170234,33.53720693170234,33.53720693170234,33.53720693170234
4800.0,184.0,188.0,189.0,190.0,190.0,33.74108053007135,33.435270132517836,33.33333333333333,33.435270132517836,33.435270132517836
4900.0,188.0,191.0,192.0,193.0,193.0,33.435270132517836,33.53720693170234,33.435270132517836,33.33333333333333,33.33333333333333
5000.0,191.0,194.0,195.0,196.0,196.0,33.53720693170234,33.435270132517836,33.435270132517836,33.435270132517836,33.435270132517836
5100.0,194.0,197.0,198.0,199.0,199.0,33.53720693170234,33.53720693170234,33.435270132517836,33.53720693170234,33.33333333333333
